Office,Name,State,District,Party,Signature_Status,Phone,Notes
U.S. House,Lou Correa,CA,46,D,PRESUMED_SIGNED,202-225-2965,
U.S. House,Dave Min,CA,47,D,PRESUMED_SIGNED,202-225-5611,Freshman - replaced Katie Porter
U.S. House,Darrell Issa,CA,48,R,NOT_SIGNED,202-225-5672,
U.S. House,Mike Levin,CA,49,D,PRESUMED_SIGNED,202-225-3906,
U.S. House,Scott Peters,CA,50,D,PRESUMED_SIGNED,202-225-0508,
U.S. House,Sara Jacobs,CA,51,D,PRESUMED_SIGNED,202-225-2040,
U.S. House,Juan Vargas,CA,52,D,PRESUMED_SIGNED,202-225-8045,
U.S. House,Diana DeGette,CO,01,D,PRESUMED_SIGNED,202-225-4431,
U.S. House,Joe Neguse,CO,02,D,PRESUMED_SIGNED,202-225-2161,
U.S. House,Jeff Hurd,CO,03,R,NOT_SIGNED,202-225-4761,Freshman - replaced Boebert
U.S. House,Lauren Boebert,CO,04,R,SIGNED,202-225-4761,Signed Sept 2
U.S. House,Jeff Crank,CO,05,R,NOT_SIGNED,202-225-4422,Freshman - replaced Lamborn
U.S. House,Jason Crow,CO,06,D,PRESUMED_SIGNED,202-225-7882,
U.S. House,Brittany Pettersen,CO,07,D,PRESUMED_SIGNED,202-225-2645,
U.S. House,Gabe Evans,CO,08,R,NOT_SIGNED,202-225-4676,Freshman
U.S. House,John Larson,CT,01,D,PRESUMED_SIGNED,202-225-2265,
U.S. House,Joe Courtney,CT,02,D,PRESUMED_SIGNED,202-225-2076,
U.S. House,Rosa L. DeLauro,CT,03,D,PRESUMED_SIGNED,202-225-3661,Appropriations Ranking
U.S. House,Jim Himes,CT,04,D,PRESUMED_SIGNED,202-225-5541,
U.S. House,Jahana Hayes,CT,05,D,PRESUMED_SIGNED,202-225-4476,
U.S. House,Sarah McBride,DE,AL,D,PRESUMED_SIGNED,202-225-4165,First trans member
U.S. House,Jimmy Patronis,FL,01,R,NOT_SIGNED,202-225-4136,Freshman - replaced Gaetz
U.S. House,Neal Dunn,FL,02,R,NOT_SIGNED,202-225-5235,
U.S. House,Kat Cammack,FL,03,R,NOT_SIGNED,202-225-5744,GOP woman - Women's Caucus leader
U.S. House,Aaron Bean,FL,04,R,NOT_SIGNED,202-225-0123,
U.S. House,John Rutherford,FL,05,R,NOT_SIGNED,202-225-2501,
U.S. House,Randy Fine,FL,06,R,NOT_SIGNED,202-225-2706,Freshman - replaced Waltz
U.S. House,Cory Mills,FL,07,R,NOT_SIGNED,202-225-4035,
U.S. House,Mike Haridopolos,FL,08,R,NOT_SIGNED,202-225-3671,Freshman - replaced Posey
U.S. House,Darren Soto,FL,09,D,PRESUMED_SIGNED,202-225-9889,
U.S. House,Maxwell Alejandro Frost,FL,10,D,PRESUMED_SIGNED,202-225-2176,Youngest member
U.S. House,Daniel Webster,FL,11,R,NOT_SIGNED,202-225-1002,
U.S. House,Gus M. Bilirakis,FL,12,R,NOT_SIGNED,202-225-5755,
U.S. House,Anna Paulina Luna,FL,13,R,NOT_SIGNED,202-225-5961,GOP woman
U.S. House,Kathy Castor,FL,14,D,PRESUMED_SIGNED,202-225-3376,
U.S. House,Laurel Lee,FL,15,R,NOT_SIGNED,202-225-1252,GOP woman
U.S. House,Vern Buchanan,FL,16,R,NOT_SIGNED,202-225-5015,
U.S. House,Greg Steube,FL,17,R,NOT_SIGNED,202-225-5792,
U.S. House,Scott Franklin,FL,18,R,NOT_SIGNED,202-225-1252,
U.S. House,Byron Donalds,FL,19,R,NOT_SIGNED,202-225-2536,Rising star
U.S. House,Sheila Cherfilus-McCormick,FL,20,D,PRESUMED_SIGNED,202-225-1313,
U.S. House,Brian Mast,FL,21,R,NOT_SIGNED,202-225-3026,
U.S. House,Lois Frankel,FL,22,D,PRESUMED_SIGNED,202-225-9890,
U.S. House,Jared Evan Moskowitz,FL,23,D,PRESUMED_SIGNED,202-225-5931,
U.S. House,Frederica S. Wilson,FL,24,D,PRESUMED_SIGNED,202-225-4506,
U.S. House,Debbie Wasserman Schultz,FL,25,D,PRESUMED_SIGNED,202-225-7931,
U.S. House,Mario Diaz-Balart,FL,26,R,NOT_SIGNED,202-225-4211,
U.S. House,Maria Elvira Salazar,FL,27,R,NOT_SIGNED,202-225-3931,GOP woman - Former journalist
U.S. House,Carlos Gimenez,FL,28,R,NOT_SIGNED,202-225-2778,Former Miami mayor
U.S. House,Earl Carter,GA,01,R,NOT_SIGNED,202-225-3342,
U.S. House,Sanford Bishop Jr.,GA,02,D,PRESUMED_SIGNED,202-225-3631,
U.S. House,Brian Jack,GA,03,R,NOT_SIGNED,202-225-5901,Freshman - Trump aide
U.S. House,Hank Johnson,GA,04,D,PRESUMED_SIGNED,202-225-1605,
U.S. House,Nikema Williams,GA,05,D,PRESUMED_SIGNED,202-225-3801,
U.S. House,Lucy McBath,GA,06,D,PRESUMED_SIGNED,202-225-4501,
U.S. House,Rich McCormick,GA,07,R,NOT_SIGNED,202-225-4272,
U.S. House,Austin Scott,GA,08,R,NOT_SIGNED,202-225-6531,
U.S. House,Andrew Clyde,GA,09,R,NOT_SIGNED,202-225-9893,
U.S. House,Mike Collins,GA,10,R,NOT_SIGNED,202-225-4101,
U.S. House,Barry Loudermilk,GA,11,R,NOT_SIGNED,202-225-2931,
U.S. House,Rick Allen,GA,12,R,NOT_SIGNED,202-225-2823,
U.S. House,David Scott,GA,13,D,PRESUMED_SIGNED,202-225-2939,
U.S. House,Marjorie Taylor Greene,GA,14,R,SIGNED,202-225-5211,Signed Sept 2
U.S. House,James Moylan,GU,AL,R,NOT_SIGNED,202-225-1188,Non-voting delegate
U.S. House,Ed Case,HI,01,D,PRESUMED_SIGNED,202-225-2726,
U.S. House,Jill Tokuda,HI,02,D,PRESUMED_SIGNED,202-225-4906,
U.S. House,Russ Fulcher,ID,01,R,NOT_SIGNED,202-225-6611,
U.S. House,Michael K. Simpson,ID,02,R,NOT_SIGNED,202-225-5531,Appropriations
U.S. House,Jonathan Jackson,IL,01,D,PRESUMED_SIGNED,202-225-0773,Jesse Jackson's son
U.S. House,Robin Kelly,IL,02,D,PRESUMED_SIGNED,202-225-0773,
U.S. House,Delia Ramirez,IL,03,D,PRESUMED_SIGNED,202-225-5701,
U.S. House,Jesus Garcia,IL,04,D,PRESUMED_SIGNED,202-225-8203,
U.S. House,Mike Quigley,IL,05,D,PRESUMED_SIGNED,202-225-4061,
U.S. House,Sean Casten,IL,06,D,PRESUMED_SIGNED,202-225-4561,
U.S. House,Danny K. Davis,IL,07,D,PRESUMED_SIGNED,202-225-5006,
U.S. House,Raja Krishnamoorthi,IL,08,D,PRESUMED_SIGNED,202-225-3711,
U.S. House,Jan Schakowsky,IL,09,D,PRESUMED_SIGNED,202-225-2111,
U.S. House,Brad Schneider,IL,10,D,PRESUMED_SIGNED,202-225-4835,
U.S. House,Bill Foster,IL,11,D,PRESUMED_SIGNED,202-225-3515,
U.S. House,Mike Bost,IL,12,R,NOT_SIGNED,202-225-5661,
U.S. House,Nikki Budzinski,IL,13,D,PRESUMED_SIGNED,202-225-2371,
U.S. House,Lauren Underwood,IL,14,D,PRESUMED_SIGNED,202-225-2976,
U.S. House,Mary Miller,IL,15,R,NOT_SIGNED,202-225-5271,GOP woman
U.S. House,Darin LaHood,IL,16,R,NOT_SIGNED,202-225-6201,
U.S. House,Eric Sorensen,IL,17,D,PRESUMED_SIGNED,202-225-5905,
U.S. House,Frank Mrvan,IN,01,D,PRESUMED_SIGNED,202-225-2461,
U.S. House,Rudy Yakym,IN,02,R,NOT_SIGNED,202-225-3915,
U.S. House,Marlin A. Stutzman,IN,03,R,NOT_SIGNED,202-225-4436,Returned to Congress
U.S. House,Jim Baird,IN,04,R,NOT_SIGNED,202-225-5037,
U.S. House,Victoria Spartz,IN,05,R,NOT_SIGNED,202-225-2276,GOP woman - Ukrainian-born
U.S. House,Jefferson Shreve,IN,06,R,NOT_SIGNED,202-225-3021,Freshman
U.S. House,André Carson,IN,07,D,PRESUMED_SIGNED,202-225-4011,
U.S. House,Mark Messmer,IN,08,R,NOT_SIGNED,202-225-4636,Freshman
U.S. House,Erin Houchin,IN,09,R,NOT_SIGNED,202-225-5315,GOP woman
U.S. House,Mariannette Miller-Meeks,IA,01,R,NOT_SIGNED,202-225-6576,GOP woman - Doctor
U.S. House,Ashley Hinson,IA,02,R,NOT_SIGNED,202-225-2911,GOP woman - Judiciary
U.S. House,Zach Nunn,IA,03,R,NOT_SIGNED,202-225-5476,
U.S. House,Randy Feenstra,IA,04,R,NOT_SIGNED,202-225-4426,
U.S. House,Tracey Mann,KS,01,R,NOT_SIGNED,202-225-2715,
U.S. House,Derek Schmidt,KS,02,R,NOT_SIGNED,202-225-6601,Former AG
U.S. House,Sharice Davids,KS,03,D,PRESUMED_SIGNED,202-225-2865,
U.S. House,Ron Estes,KS,04,R,NOT_SIGNED,202-225-6216,
U.S. House,James Comer Jr.,KY,01,R,NOT_SIGNED,202-225-3115,Oversight Chair
U.S. House,Brett Guthrie,KY,02,R,NOT_SIGNED,202-225-3501,
U.S. House,Morgan McGarvey,KY,03,D,PRESUMED_SIGNED,202-225-5401,
U.S. House,Thomas Massie,KY,04,R,SIGNED,202-225-3465,Filed petition Sept 2
U.S. House,Hal Rogers,KY,05,R,NOT_SIGNED,202-225-4601,Dean of House Republicans
U.S. House,Andy Barr,KY,06,R,NOT_SIGNED,202-225-4706,
U.S. House,Steve Scalise,LA,01,R,NOT_SIGNED,202-225-3015,Majority Leader
U.S. House,Troy Carter,LA,02,D,PRESUMED_SIGNED,202-225-6636,
U.S. House,Clay Higgins,LA,03,R,NOT_SIGNED,202-225-2031,
U.S. House,Mike Johnson,LA,04,R,NOT_SIGNED,202-225-2777,Speaker - blocking vote
U.S. House,Julia Letlow,LA,05,R,NOT_SIGNED,202-225-8490,GOP woman - Widow
U.S. House,Cleo Fields,LA,06,D,PRESUMED_SIGNED,202-225-8490,Returned to Congress
U.S. House,Chellie Pingree,ME,01,D,PRESUMED_SIGNED,202-225-6116,
U.S. House,Jared Golden,ME,02,D,SIGNED,202-225-6306,Signed Sept 2
U.S. House,Andrew Harris,MD,01,R,NOT_SIGNED,202-225-5311,
U.S. House,John Olszewski Jr.,MD,02,D,PRESUMED_SIGNED,202-225-4016,Freshman
U.S. House,Sarah Elfreth,MD,03,D,PRESUMED_SIGNED,202-225-5341,Freshman - youngest woman
U.S. House,Glenn Ivey,MD,04,D,PRESUMED_SIGNED,202-225-8699,
U.S. House,Steny Hoyer,MD,05,D,PRESUMED_SIGNED,202-225-4131,Former Majority Leader
U.S. House,April McClain-Delaney,MD,06,D,PRESUMED_SIGNED,202-225-2721,Freshman
U.S. House,Kweisi Mfume,MD,07,D,PRESUMED_SIGNED,202-225-4741,
U.S. House,Jamie Raskin,MD,08,D,PRESUMED_SIGNED,202-225-5341,Oversight Ranking
U.S. House,Richard Neal,MA,01,D,PRESUMED_SIGNED,202-225-5601,Ways & Means Ranking
U.S. House,Jim McGovern,MA,02,D,PRESUMED_SIGNED,202-225-6101,
U.S. House,Lori Trahan,MA,03,D,PRESUMED_SIGNED,202-225-3411,
U.S. House,Jake Auchincloss,MA,04,D,PRESUMED_SIGNED,202-225-5931,
U.S. House,Katherine Clark,MA,05,D,PRESUMED_SIGNED,202-225-2836,Democratic Whip
U.S. House,Seth Moulton,MA,06,D,PRESUMED_SIGNED,202-225-8020,
U.S. House,Ayanna Pressley,MA,07,D,PRESUMED_SIGNED,202-225-5111,Squad member
U.S. House,Stephen Lynch,MA,08,D,PRESUMED_SIGNED,202-225-8273,
U.S. House,Bill Keating,MA,09,D,PRESUMED_SIGNED,202-225-3111,
U.S. House,Jack Bergman,MI,01,R,NOT_SIGNED,202-225-4735,
U.S. House,John Moolenaar,MI,02,R,NOT_SIGNED,202-225-3561,
U.S. House,Hillary Scholten,MI,03,D,PRESUMED_SIGNED,202-225-3831,
U.S. House,Bill Huizenga,MI,04,R,NOT_SIGNED,202-225-4401,
U.S. House,Tim Walberg,MI,05,R,NOT_SIGNED,202-225-6276,
U.S. House,Debbie Dingell,MI,06,D,PRESUMED_SIGNED,202-225-4071,
U.S. House,Tom Barrett,MI,07,R,NOT_SIGNED,202-225-4872,Freshman
U.S. House,Kristen McDonald Rivet,MI,08,D,PRESUMED_SIGNED,202-225-3761,Freshman
U.S. House,Lisa McClain,MI,09,R,NOT_SIGNED,202-225-2106,GOP woman - Conference Chair
U.S. House,John James,MI,10,R,NOT_SIGNED,202-225-4961,
U.S. House,Haley Stevens,MI,11,D,PRESUMED_SIGNED,202-225-8171,
U.S. House,Rashida Tlaib,MI,12,D,PRESUMED_SIGNED,202-225-5126,Squad member
U.S. House,Shri Thanedar,MI,13,D,PRESUMED_SIGNED,202-225-2261,
U.S. House,Brad Finstad,MN,01,R,NOT_SIGNED,202-225-2472,
U.S. House,Angie Craig,MN,02,D,PRESUMED_SIGNED,202-225-2271,
U.S. House,Kelly Morrison,MN,03,D,PRESUMED_SIGNED,202-225-2871,Freshman - replaced Phillips
U.S. House,Betty McCollum,MN,04,D,PRESUMED_SIGNED,202-225-6631,
U.S. House,Ilhan Omar,MN,05,D,PRESUMED_SIGNED,202-225-4755,Squad member
U.S. House,Tom Emmer,MN,06,R,NOT_SIGNED,202-225-2331,Majority Whip
U.S. House,Michelle Fischbach,MN,07,R,NOT_SIGNED,202-225-2165,GOP woman
U.S. House,Pete Stauber,MN,08,R,NOT_SIGNED,202-225-6211,
U.S. House,Trent Kelly,MS,01,R,NOT_SIGNED,202-225-4306,
U.S. House,Bennie Thompson,MS,02,D,PRESUMED_SIGNED,202-225-5876,
U.S. House,Michael Guest,MS,03,R,NOT_SIGNED,202-225-5031,
U.S. House,Mike Ezell,MS,04,R,NOT_SIGNED,202-225-5772,
U.S. House,Wesley Bell,MO,01,D,PRESUMED_SIGNED,202-225-2406,Freshman - defeated Bush
U.S. House,Ann Wagner,MO,02,R,NOT_SIGNED,202-225-1621,GOP woman
U.S. House,Bob Onder,MO,03,R,NOT_SIGNED,202-225-2956,Freshman
U.S. House,Mark Alford,MO,04,R,NOT_SIGNED,202-225-2876,
U.S. House,Emanuel Cleaver,MO,05,D,PRESUMED_SIGNED,202-225-4535,
U.S. House,Sam Graves,MO,06,R,NOT_SIGNED,202-225-7041,Transportation Chair
U.S. House,Eric Burlison,MO,07,R,NOT_SIGNED,202-225-6536,
U.S. House,Jason Smith,MO,08,R,NOT_SIGNED,202-225-4404,Ways & Means Chair
U.S. House,Ryan K. Zinke,MT,01,R,NOT_SIGNED,202-225-3211,Former Interior Secretary
U.S. House,Troy Downing,MT,02,R,NOT_SIGNED,202-225-1313,Freshman
U.S. House,Mike Flood,NE,01,R,NOT_SIGNED,202-225-4806,
U.S. House,Don Bacon,NE,02,R,NOT_SIGNED,202-225-4155,Moderate - Biden district
U.S. House,Adrian Smith,NE,03,R,NOT_SIGNED,202-225-6435,
U.S. House,Dina Titus,NV,01,D,PRESUMED_SIGNED,202-225-5965,
U.S. House,Mark Amodei,NV,02,R,NOT_SIGNED,202-225-6155,
U.S. House,Susie Lee,NV,03,D,PRESUMED_SIGNED,202-225-3252,
U.S. House,Steven Horsford,NV,04,D,PRESUMED_SIGNED,202-225-9894,CBC Chair
U.S. House,Chris Pappas,NH,01,D,PRESUMED_SIGNED,202-225-5456,
U.S. House,Maggie Goodlander,NH,02,D,PRESUMED_SIGNED,202-225-5206,Freshman - Jake Sullivan's wife
U.S. House,Donald Norcross,NJ,01,D,PRESUMED_SIGNED,202-225-6501,
U.S. House,Jeff Van Drew,NJ,02,R,NOT_SIGNED,202-225-6572,CO-SPONSORED but won't sign!
U.S. House,Herbert C. Conaway Jr.,NJ,03,D,PRESUMED_SIGNED,202-225-4765,Freshman
U.S. House,Chris Smith,NJ,04,R,NOT_SIGNED,202-225-3765,
U.S. House,Josh Gottheimer,NJ,05,D,PRESUMED_SIGNED,202-225-4465,Problem Solvers co-chair
U.S. House,Frank Pallone Jr.,NJ,06,D,PRESUMED_SIGNED,202-225-4671,
U.S. House,Thomas Kean Jr.,NJ,07,R,NOT_SIGNED,202-225-5361,Moderate
U.S. House,Robert Menendez Jr.,NJ,08,D,SIGNED,202-225-7919,Signed Sept 2 despite father's issues
U.S. House,Nellie Pou,NJ,09,D,PRESUMED_SIGNED,202-225-5751,Freshman - replaced Pascrell
U.S. House,LaMonica McIver,NJ,10,D,PRESUMED_SIGNED,202-225-3436,Freshman - replaced Payne
U.S. House,Mikie Sherrill,NJ,11,D,PRESUMED_SIGNED,202-225-5034,Running for governor
U.S. House,Bonnie Watson Coleman,NJ,12,D,PRESUMED_SIGNED,202-225-5801,
U.S. House,Melanie Ann Stansbury,NM,01,D,PRESUMED_SIGNED,202-225-6316,
U.S. House,Gabriel Vasquez,NM,02,D,PRESUMED_SIGNED,202-225-2365,
U.S. House,Teresa Leger Fernandez,NM,03,D,PRESUMED_SIGNED,202-225-6190,
U.S. House,Nicholas J. LaLota,NY,01,R,NOT_SIGNED,202-225-3826,
U.S. House,Andrew Garbarino,NY,02,R,NOT_SIGNED,202-225-7896,
U.S. House,Tom Suozzi,NY,03,D,PRESUMED_SIGNED,202-225-3335,Returned - replaced Santos
U.S. House,Laura Gillen,NY,04,D,PRESUMED_SIGNED,202-225-5516,Freshman - defeated D'Esposito
U.S. House,Gregory W. Meeks,NY,05,D,PRESUMED_SIGNED,202-225-3461,
U.S. House,Grace Meng,NY,06,D,PRESUMED_SIGNED,202-225-2601,
U.S. House,Nydia Velazquez,NY,07,D,PRESUMED_SIGNED,202-225-2361,
U.S. House,Hakeem Jeffries,NY,08,D,PRESUMED_SIGNED,202-225-5936,Democratic Leader
U.S. House,Yvette D. Clarke,NY,09,D,PRESUMED_SIGNED,202-225-6231,
U.S. House,Daniel Goldman,NY,10,D,PRESUMED_SIGNED,202-225-7944,
U.S. House,Nicole Malliotakis,NY,11,R,NOT_SIGNED,202-225-3371,GOP woman - Staten Island
U.S. House,Jerrold Nadler,NY,12,D,PRESUMED_SIGNED,202-225-5635,Judiciary Ranking
U.S. House,Adriano Espaillat,NY,13,D,PRESUMED_SIGNED,202-225-4365,
U.S. House,Alexandria Ocasio-Cortez,NY,14,D,PRESUMED_SIGNED,202-225-3965,Squad leader
U.S. House,Ritchie Torres,NY,15,D,PRESUMED_SIGNED,202-225-4361,
U.S. House,George Latimer,NY,16,D,PRESUMED_SIGNED,202-225-2464,Freshman - defeated Bowman
U.S. House,Michael Lawler,NY,17,R,NOT_SIGNED,202-225-6506,Moderate
U.S. House,Pat Ryan,NY,18,D,PRESUMED_SIGNED,202-225-5614,
U.S. House,Josh Riley,NY,19,D,PRESUMED_SIGNED,202-225-5441,Freshman - defeated Molinaro
U.S. House,Paul Tonko,NY,20,D,PRESUMED_SIGNED,202-225-5076,
U.S. House,Elise Stefanik,NY,21,R,NOT_SIGNED,202-225-4611,GOP woman - Conference Chair
U.S. House,John Mannion,NY,22,D,PRESUMED_SIGNED,202-225-3701,Freshman - defeated Williams
U.S. House,Nick Langworthy,NY,23,R,NOT_SIGNED,202-225-3161,
U.S. House,Claudia Tenney,NY,24,R,NOT_SIGNED,202-225-3665,GOP woman
U.S. House,Joseph Morelle,NY,25,D,PRESUMED_SIGNED,202-225-3615,
U.S. House,Timothy M. Kennedy,NY,26,D,PRESUMED_SIGNED,202-225-5265,Replaced Higgins
U.S. House,Eleanor Holmes Norton,DC,AL,D,PRESUMED_SIGNED,202-225-8050,Non-voting delegate
U.S. House,Donald Davis,NC,01,D,SIGNED,202-225-3101,Signed Sept 2
U.S. House,Deborah Ross,NC,02,D,PRESUMED_SIGNED,202-225-3032,
U.S. House,Gregory Murphy,NC,03,R,NOT_SIGNED,202-225-3415,Doctor
U.S. House,Valerie Foushee,NC,04,D,PRESUMED_SIGNED,202-225-1784,
U.S. House,Virginia Foxx,NC,05,R,NOT_SIGNED,202-225-2071,GOP woman - Rules Chair
U.S. House,Addison McDowell,NC,06,R,NOT_SIGNED,202-225-3715,Freshman
U.S. House,David Rouzer,NC,07,R,NOT_SIGNED,202-225-2731,
U.S. House,Mark Harris,NC,08,R,NOT_SIGNED,202-225-3176,Finally won after 2018 scandal
U.S. House,Richard Hudson,NC,09,R,NOT_SIGNED,202-225-3715,NRCC Chair
U.S. House,Pat Harrigan,NC,10,R,NOT_SIGNED,202-225-2576,Freshman
U.S. House,Chuck Edwards,NC,11,R,NOT_SIGNED,202-225-6401,Defeated Cawthorn
U.S. House,Alma Adams,NC,12,D,PRESUMED_SIGNED,202-225-1510,
U.S. House,Brad Knott,NC,13,R,NOT_SIGNED,202-225-2071,Freshman
U.S. House,Timothy K. Moore,NC,14,R,NOT_SIGNED,202-225-5735,Freshman - former Speaker
U.S. House,Julie Fedorchak,ND,AL,R,NOT_SIGNED,202-225-2611,GOP woman - First woman from ND
U.S. House,Kimberlyn King-Hinds,MP,AL,R,NOT_SIGNED,202-225-2646,Non-voting delegate
U.S. House,Greg Landsman,OH,01,D,PRESUMED_SIGNED,202-225-2216,
U.S. House,David Taylor,OH,02,R,NOT_SIGNED,202-225-5705,Freshman - defeated Whaley
U.S. House,Joyce Beatty,OH,03,D,PRESUMED_SIGNED,202-225-4324,Former CBC Chair
U.S. House,Jim Jordan,OH,04,R,NOT_SIGNED,202-225-2676,Judiciary Chair
U.S. House,Bob Latta,OH,05,R,NOT_SIGNED,202-225-6405,
U.S. House,Michael Rulli,OH,06,R,NOT_SIGNED,202-225-5261,Special election winner
U.S. House,Max Miller,OH,07,R,NOT_SIGNED,202-225-3876,Trump aide
U.S. House,Warren Davidson,OH,08,R,NOT_SIGNED,202-225-6205,
U.S. House,Marcy Kaptur,OH,09,D,PRESUMED_SIGNED,202-225-4146,Dean of women
