Name,State,District,Party,Signature_Status,Signed_Date,Phone,Priority,Notes,Last_Verified,Last_Contact,Contact_Response
Ro Khanna,CA,17,D,SIGNED,2025-09-02,202-225-2631,,Co-leading discharge petition,2025-09-03,,
Zoe Lofgren,CA,18,D,SIGNED,2025-09-02,202-225-3072,,,2025-09-03,,
Jimmy Panetta,CA,19,D,SIGNED,2025-09-02,202-225-2861,,,2025-09-03,,
Jared Huffman,CA,2,D,SIGNED,2025-09-03,202-225-5161,,,2025-09-03,,
Vince Fong,CA,20,R,NOT_SIGNED,,202-225-2915,STANDARD,Replaced McCarthy,,,
Jim Costa,CA,21,D,SIGNED,2025-09-03,202-225-3341,,,2025-09-03,,
David G. Valadao,CA,22,R,NOT_SIGNED,,202-225-4695,STANDARD,Moderate - impeached Trump,,,
Jay Obernolte,CA,23,R,NOT_SIGNED,,202-225-5861,STANDARD,,,,
Salud Carbajal,CA,24,D,SIGNED,2025-09-02,202-225-3601,,,2025-09-03,,
Raul Ruiz,CA,25,D,SIGNED,2025-09-03,202-225-5330,,,2025-09-03,,
Julia Brownley,CA,26,D,SIGNED,2025-09-03,202-225-5811,,,2025-09-03,,
George Whitesides,CA,27,D,SIGNED,2025-09-02,202-225-1956,,Freshman - defeated Mike Garcia,2025-09-03,,
Judy Chu,CA,28,D,SIGNED,2025-09-02,202-225-5464,,,2025-09-03,,
Luz Maria Rivas,CA,29,D,SIGNED,2025-09-02,202-225-6235,,Freshman,2025-09-03,,
Kevin Kiley,CA,3,R,NOT_SIGNED,,202-225-2523,STANDARD,Freshman,,,
Laura Friedman,CA,30,D,SIGNED,2025-09-02,202-225-4176,,Freshman - replaced Schiff,2025-09-03,,
Gil Cisneros,CA,31,D,SIGNED,2025-09-02,202-225-4111,,Returned to Congress,2025-09-03,,
Brad Sherman,CA,32,D,SIGNED,2025-09-03,202-225-5911,,,2025-09-03,,
Pete Aguilar,CA,33,D,SIGNED,2025-09-03,202-225-3201,,Democratic Caucus Chair,2025-09-03,,
Jimmy Gomez,CA,34,D,SIGNED,2025-09-03,202-225-6235,,,2025-09-03,,
Norma Torres,CA,35,D,SIGNED,2025-09-02,202-225-6161,,,2025-09-03,,
Ted Lieu,CA,36,D,SIGNED,2025-09-03,202-225-3976,,,2025-09-03,,
Sydney Kamlager-Dove,CA,37,D,SIGNED,2025-09-03,202-225-7084,,,2025-09-03,,
Linda Sánchez,CA,38,D,SIGNED,2025-09-03,202-225-6676,,,2025-09-03,,
Mark Takano,CA,39,D,SIGNED,2025-09-02,202-225-2305,,,2025-09-03,,
Mike Thompson,CA,4,D,SIGNED,2025-09-03,202-225-3311,,,2025-09-03,,
Young Kim,CA,40,R,NOT_SIGNED,,202-225-4111,HIGH - Trafficking,GOP woman - Anti-trafficking leader,,,
Ken Calvert,CA,41,R,NOT_SIGNED,,202-225-1986,STANDARD,Appropriations,,,
Robert Garcia,CA,42,D,SIGNED,2025-09-02,202-225-7924,,Freshman leader,2025-09-03,,
Maxine Waters,CA,43,D,SIGNED,2025-09-02,202-225-2201,,,2025-09-03,,
Nanette Barragán,CA,44,D,SIGNED,2025-09-02,202-225-8220,,,2025-09-03,,
Derek Tran,CA,45,D,SIGNED,2025-09-03,202-225-5611,,Freshman - defeated Michelle Steel,2025-09-03,,
Lou Correa,CA,46,D,SIGNED,2025-09-02,202-225-2965,,,2025-09-03,,
Dave Min,CA,47,D,SIGNED,2025-09-02,202-225-5611,,Freshman - replaced Katie Porter,2025-09-03,,
Darrell Issa,CA,48,R,NOT_SIGNED,,202-225-5672,STANDARD,,,,
Mike Levin,CA,49,D,SIGNED,2025-09-03,202-225-3906,,,2025-09-03,,
Tom McClintock,CA,5,R,NOT_SIGNED,,202-225-2511,STANDARD,,,,
Scott Peters,CA,50,D,SIGNED,2025-09-03,202-225-0508,,,2025-09-03,,
Sara Jacobs,CA,51,D,SIGNED,2025-09-02,202-225-2040,,,2025-09-03,,
Juan Vargas,CA,52,D,SIGNED,2025-09-03,202-225-8045,,,2025-09-03,,
Ami Bera,CA,6,D,SIGNED,2025-09-03,202-225-5716,,,2025-09-03,,
Doris Matsui,CA,7,D,SIGNED,2025-09-02,202-225-7163,,,2025-09-03,,
John Garamendi,CA,8,D,SIGNED,2025-09-03,202-225-1880,,,2025-09-03,,
Josh Harder,CA,9,D,SIGNED,2025-09-03,202-225-4540,,,2025-09-03,,
Diana DeGette,CO,1,D,SIGNED,2025-09-03,202-225-4431,,,2025-09-03,,
Joe Neguse,CO,2,D,SIGNED,2025-09-02,202-225-2161,,,2025-09-03,,
Jeff Hurd,CO,3,R,NOT_SIGNED,,202-225-4761,STANDARD,Freshman - replaced Boebert,,,
Lauren Boebert,CO,4,R,SIGNED,2025-09-02,202-225-4761,,Signed Sept 2,2025-09-03,,
Jeff Crank,CO,5,R,NOT_SIGNED,,202-225-4422,STANDARD,Freshman - replaced Lamborn,,,
Jason Crow,CO,6,D,SIGNED,2025-09-02,202-225-7882,,,2025-09-03,,
Brittany Pettersen,CO,7,D,SIGNED,2025-09-03,202-225-2645,,,2025-09-03,,
Gabe Evans,CO,8,R,NOT_SIGNED,,202-225-4676,STANDARD,Freshman,,,
John Larson,CT,1,D,SIGNED,2025-09-02,202-225-2265,,,2025-09-03,,
Joe Courtney,CT,2,D,SIGNED,2025-09-02,202-225-2076,,,2025-09-03,,
Rosa L. DeLauro,CT,3,D,SIGNED,2025-09-03,202-225-3661,,Appropriations Ranking,2025-09-03,,
Jim Himes,CT,4,D,SIGNED,2025-09-03,202-225-5541,,,2025-09-03,,
Jahana Hayes,CT,5,D,SIGNED,2025-09-02,202-225-4476,,,2025-09-03,,
Eleanor Holmes Norton,DC,AL,D,NOT_SIGNED,,202-225-8050,,Non-voting delegate,,,
Sarah McBride,DE,AL,D,SIGNED,2025-09-02,202-225-4165,,First trans member,2025-09-03,,
Jimmy Patronis,FL,1,R,NOT_SIGNED,,202-225-4136,STANDARD,Freshman - replaced Gaetz,,,
Maxwell Alejandro Frost,FL,10,D,SIGNED,2025-09-02,202-225-2176,,Youngest member,2025-09-03,,
Daniel Webster,FL,11,R,NOT_SIGNED,,202-225-1002,STANDARD,,,,
Gus M. Bilirakis,FL,12,R,NOT_SIGNED,,202-225-5755,STANDARD,,,,
Anna Paulina Luna,FL,13,R,NOT_SIGNED,,202-225-5961,MEDIUM - GOP woman,GOP woman,,,
Kathy Castor,FL,14,D,SIGNED,2025-09-02,202-225-3376,,,2025-09-03,,
Laurel Lee,FL,15,R,NOT_SIGNED,,202-225-1252,MEDIUM - GOP woman,GOP woman,,,
Vern Buchanan,FL,16,R,NOT_SIGNED,,202-225-5015,STANDARD,,,,
Greg Steube,FL,17,R,NOT_SIGNED,,202-225-5792,STANDARD,,,,
Scott Franklin,FL,18,R,NOT_SIGNED,,202-225-1252,STANDARD,,,,
Byron Donalds,FL,19,R,NOT_SIGNED,,202-225-2536,STANDARD,Rising star,,,
Neal Dunn,FL,2,R,NOT_SIGNED,,202-225-5235,STANDARD,,,,
Sheila Cherfilus-McCormick,FL,20,D,SIGNED,2025-09-02,202-225-1313,,,2025-09-03,,
Brian Mast,FL,21,R,NOT_SIGNED,,202-225-3026,STANDARD,,,,
Lois Frankel,FL,22,D,SIGNED,2025-09-02,202-225-9890,,,2025-09-03,,
Jared Evan Moskowitz,FL,23,D,SIGNED,2025-09-02,202-225-5931,,,2025-09-03,,
Frederica S. Wilson,FL,24,D,SIGNED,2025-09-02,202-225-4506,,,2025-09-03,,
Debbie Wasserman Schultz,FL,25,D,SIGNED,2025-09-03,202-225-7931,,,2025-09-03,,
Mario Diaz-Balart,FL,26,R,NOT_SIGNED,,202-225-4211,STANDARD,,,,
Maria Elvira Salazar,FL,27,R,NOT_SIGNED,,202-225-3931,MEDIUM - GOP woman,GOP woman - Former journalist,,,
Carlos Gimenez,FL,28,R,NOT_SIGNED,,202-225-2778,STANDARD,Former Miami mayor,,,
Kat Cammack,FL,3,R,NOT_SIGNED,,202-225-5744,MEDIUM - GOP woman,GOP woman - Women's Caucus leader,,,
Aaron Bean,FL,4,R,NOT_SIGNED,,202-225-0123,STANDARD,,,,
John Rutherford,FL,5,R,NOT_SIGNED,,202-225-2501,STANDARD,,,,
Randy Fine,FL,6,R,NOT_SIGNED,,202-225-2706,STANDARD,Freshman - replaced Waltz,,,
Cory Mills,FL,7,R,NOT_SIGNED,,202-225-4035,STANDARD,,,,
Mike Haridopolos,FL,8,R,NOT_SIGNED,,202-225-3671,STANDARD,Freshman - replaced Posey,,,
Darren Soto,FL,9,D,SIGNED,2025-09-03,202-225-9889,,,2025-09-03,,
Earl Carter,GA,1,R,NOT_SIGNED,,202-225-3342,STANDARD,,,,
Mike Collins,GA,10,R,NOT_SIGNED,,202-225-4101,STANDARD,,,,
Barry Loudermilk,GA,11,R,NOT_SIGNED,,202-225-2931,STANDARD,,,,
Rick Allen,GA,12,R,NOT_SIGNED,,202-225-2823,STANDARD,,,,
David Scott,GA,13,D,SIGNED,2025-09-03,202-225-2939,,,2025-09-03,,
Marjorie Taylor Greene,GA,14,R,SIGNED,2025-09-02,202-225-5211,,Signed Sept 2,2025-09-03,,
Sanford Bishop Jr.,GA,2,D,SIGNED,2025-09-03,202-225-3631,,,2025-09-03,,
Brian Jack,GA,3,R,NOT_SIGNED,,202-225-5901,STANDARD,Freshman - Trump aide,,,
Hank Johnson,GA,4,D,SIGNED,2025-09-02,202-225-1605,,,2025-09-03,,
Nikema Williams,GA,5,D,SIGNED,2025-09-02,202-225-3801,,,2025-09-03,,
Lucy McBath,GA,6,D,SIGNED,2025-09-02,202-225-4501,,,2025-09-03,,
Rich McCormick,GA,7,R,NOT_SIGNED,,202-225-4272,STANDARD,,,,
Austin Scott,GA,8,R,NOT_SIGNED,,202-225-6531,STANDARD,,,,
Andrew Clyde,GA,9,R,NOT_SIGNED,,202-225-9893,STANDARD,,,,
James Moylan,GU,AL,R,NOT_SIGNED,,202-225-1188,STANDARD,Non-voting delegate,,,
Ed Case,HI,1,D,SIGNED,2025-09-03,202-225-2726,,,2025-09-03,,
Jill Tokuda,HI,2,D,SIGNED,2025-09-02,202-225-4906,,,2025-09-03,,
Mariannette Miller-Meeks,IA,1,R,NOT_SIGNED,,202-225-6576,MEDIUM - GOP woman,GOP woman - Doctor,,,
Ashley Hinson,IA,2,R,NOT_SIGNED,,202-225-2911,HIGH - Judiciary,GOP woman - Judiciary Committee,,,
Zach Nunn,IA,3,R,NOT_SIGNED,,202-225-5476,STANDARD,,,,
Randy Feenstra,IA,4,R,NOT_SIGNED,,202-225-4426,STANDARD,,,,
Russ Fulcher,ID,1,R,NOT_SIGNED,,202-225-6611,STANDARD,,,,
Michael K. Simpson,ID,2,R,NOT_SIGNED,,202-225-5531,STANDARD,Appropriations,,,
Jonathan Jackson,IL,1,D,SIGNED,2025-09-02,202-225-0773,,Jesse Jackson's son,2025-09-03,,
Brad Schneider,IL,10,D,SIGNED,2025-09-02,202-225-4835,,,2025-09-03,,
Bill Foster,IL,11,D,SIGNED,2025-09-02,202-225-3515,,,2025-09-03,,
Mike Bost,IL,12,R,NOT_SIGNED,,202-225-5661,STANDARD,,,,
Nikki Budzinski,IL,13,D,SIGNED,2025-09-02,202-225-2371,,,2025-09-03,,
Lauren Underwood,IL,14,D,SIGNED,2025-09-02,202-225-2976,,,2025-09-03,,
Mary Miller,IL,15,R,NOT_SIGNED,,202-225-5271,MEDIUM - GOP woman,GOP woman,,,
Darin LaHood,IL,16,R,NOT_SIGNED,,202-225-6201,STANDARD,,,,
Eric Sorensen,IL,17,D,SIGNED,2025-09-03,202-225-5905,,,2025-09-03,,
Robin Kelly,IL,2,D,SIGNED,2025-09-03,202-225-0773,,,2025-09-03,,
Delia Ramirez,IL,3,D,SIGNED,2025-09-02,202-225-5701,,,2025-09-03,,
Jesus Garcia,IL,4,D,SIGNED,2025-09-02,202-225-8203,,,2025-09-03,,
Mike Quigley,IL,5,D,SIGNED,2025-09-02,202-225-4061,,,2025-09-03,,
Sean Casten,IL,6,D,SIGNED,2025-09-02,202-225-4561,,,2025-09-03,,
Danny K. Davis,IL,7,D,SIGNED,2025-09-03,202-225-5006,,,2025-09-03,,
Raja Krishnamoorthi,IL,8,D,SIGNED,2025-09-02,202-225-3711,,,2025-09-03,,
Jan Schakowsky,IL,9,D,SIGNED,2025-09-02,202-225-2111,,,2025-09-03,,
Frank Mrvan,IN,1,D,SIGNED,2025-09-02,202-225-2461,,,2025-09-03,,
Rudy Yakym,IN,2,R,NOT_SIGNED,,202-225-3915,STANDARD,,,,
Marlin A. Stutzman,IN,3,R,NOT_SIGNED,,202-225-4436,STANDARD,Returned to Congress,,,
Jim Baird,IN,4,R,NOT_SIGNED,,202-225-5037,STANDARD,,,,
Victoria Spartz,IN,5,R,NOT_SIGNED,,202-225-2276,MEDIUM - GOP woman,GOP woman - Ukrainian-born,,,
Jefferson Shreve,IN,6,R,NOT_SIGNED,,202-225-3021,STANDARD,Freshman,,,
André Carson,IN,7,D,SIGNED,2025-09-02,202-225-4011,,,2025-09-03,,
Mark Messmer,IN,8,R,NOT_SIGNED,,202-225-4636,STANDARD,Freshman,,,
Erin Houchin,IN,9,R,NOT_SIGNED,,202-225-5315,MEDIUM - GOP woman,GOP woman,,,
Tracey Mann,KS,1,R,NOT_SIGNED,,202-225-2715,STANDARD,,,,
Derek Schmidt,KS,2,R,NOT_SIGNED,,202-225-6601,STANDARD,Former AG,,,
Sharice Davids,KS,3,D,SIGNED,2025-09-03,202-225-2865,,,2025-09-03,,
Ron Estes,KS,4,R,NOT_SIGNED,,202-225-6216,STANDARD,,,,
James Comer Jr.,KY,1,R,NOT_SIGNED,,202-225-3115,STANDARD,Oversight Chair,,,
Brett Guthrie,KY,2,R,NOT_SIGNED,,202-225-3501,STANDARD,,,,
Morgan McGarvey,KY,3,D,SIGNED,2025-09-02,202-225-5401,,,2025-09-03,,
Thomas Massie,KY,4,R,SIGNED,2025-09-02,202-225-3465,,Filed petition Sept 2,2025-09-03,,
Hal Rogers,KY,5,R,NOT_SIGNED,,202-225-4601,STANDARD,Dean of House Republicans,,,
Andy Barr,KY,6,R,NOT_SIGNED,,202-225-4706,STANDARD,,,,
Steve Scalise,LA,1,R,NOT_SIGNED,,202-225-3015,STANDARD,Majority Leader,,,
Troy Carter,LA,2,D,SIGNED,2025-09-02,202-225-6636,,,2025-09-03,,
Clay Higgins,LA,3,R,NOT_SIGNED,,202-225-2031,STANDARD,,,,
Mike Johnson,LA,4,R,NOT_SIGNED,,202-225-2777,STANDARD,Speaker - blocking vote,,,
Julia Letlow,LA,5,R,NOT_SIGNED,,202-225-8490,MEDIUM - GOP woman,GOP woman - Widow,,,
Cleo Fields,LA,6,D,SIGNED,2025-09-02,202-225-8490,,Returned to Congress,2025-09-03,,
Richard Neal,MA,1,D,SIGNED,2025-09-03,202-225-5601,,Ways & Means Ranking,2025-09-03,,
Jim McGovern,MA,2,D,SIGNED,2025-09-02,202-225-6101,,,2025-09-03,,
Lori Trahan,MA,3,D,SIGNED,2025-09-02,202-225-3411,,,2025-09-03,,
Jake Auchincloss,MA,4,D,SIGNED,2025-09-03,202-225-5931,,,2025-09-03,,
Katherine Clark,MA,5,D,SIGNED,2025-09-03,202-225-2836,,Democratic Whip,2025-09-03,,
Seth Moulton,MA,6,D,SIGNED,2025-09-03,202-225-8020,,,2025-09-03,,
Ayanna Pressley,MA,7,D,SIGNED,2025-09-02,202-225-5111,,Squad member,2025-09-03,,
Stephen Lynch,MA,8,D,SIGNED,2025-09-02,202-225-8273,,,2025-09-03,,
Bill Keating,MA,9,D,SIGNED,2025-09-03,202-225-3111,,,2025-09-03,,
Andrew Harris,MD,1,R,NOT_SIGNED,,202-225-5311,STANDARD,,,,
John Olszewski Jr.,MD,2,D,SIGNED,2025-09-02,202-225-4016,,Freshman,2025-09-03,,
Sarah Elfreth,MD,3,D,SIGNED,2025-09-02,202-225-5341,,Freshman - youngest woman,2025-09-03,,
Glenn Ivey,MD,4,D,SIGNED,2025-09-03,202-225-8699,,,2025-09-03,,
Steny Hoyer,MD,5,D,SIGNED,2025-09-03,202-225-4131,,Former Majority Leader,2025-09-03,,
April McClain-Delaney,MD,6,D,SIGNED,2025-09-03,202-225-2721,,Freshman,2025-09-03,,
Kweisi Mfume,MD,7,D,SIGNED,2025-09-02,202-225-4741,,,2025-09-03,,
Jamie Raskin,MD,8,D,SIGNED,2025-09-02,202-225-5341,,Oversight Ranking,2025-09-03,,
Chellie Pingree,ME,1,D,SIGNED,2025-09-03,202-225-6116,,,2025-09-03,,
Jared Golden,ME,2,D,SIGNED,2025-09-02,202-225-6306,,Signed Sept 2,2025-09-03,,
Jack Bergman,MI,1,R,NOT_SIGNED,,202-225-4735,STANDARD,,,,
John James,MI,10,R,NOT_SIGNED,,202-225-4961,STANDARD,,,,
Haley Stevens,MI,11,D,SIGNED,2025-09-02,202-225-8171,,,2025-09-03,,
Rashida Tlaib,MI,12,D,SIGNED,2025-09-02,202-225-5126,,Squad member,2025-09-03,,
Shri Thanedar,MI,13,D,SIGNED,2025-09-02,202-225-2261,,,2025-09-03,,
John Moolenaar,MI,2,R,NOT_SIGNED,,202-225-3561,STANDARD,,,,
Hillary Scholten,MI,3,D,SIGNED,2025-09-03,202-225-3831,,,2025-09-03,,
Bill Huizenga,MI,4,R,NOT_SIGNED,,202-225-4401,STANDARD,,,,
Tim Walberg,MI,5,R,NOT_SIGNED,,202-225-6276,STANDARD,,,,
Debbie Dingell,MI,6,D,SIGNED,2025-09-02,202-225-4071,,,2025-09-03,,
Tom Barrett,MI,7,R,NOT_SIGNED,,202-225-4872,STANDARD,Freshman,,,
Kristen McDonald Rivet,MI,8,D,SIGNED,2025-09-02,202-225-3761,,Freshman,2025-09-03,,
Lisa McClain,MI,9,R,NOT_SIGNED,,202-225-2106,MEDIUM - GOP woman,GOP woman - Conference Chair,,,
Brad Finstad,MN,1,R,NOT_SIGNED,,202-225-2472,STANDARD,,,,
Angie Craig,MN,2,D,SIGNED,2025-09-03,202-225-2271,,,2025-09-03,,
Kelly Morrison,MN,3,D,SIGNED,2025-09-02,202-225-2871,,Freshman - replaced Phillips,2025-09-03,,
Betty McCollum,MN,4,D,SIGNED,2025-09-03,202-225-6631,,,2025-09-03,,
Ilhan Omar,MN,5,D,SIGNED,2025-09-02,202-225-4755,,Squad member,2025-09-03,,
Tom Emmer,MN,6,R,NOT_SIGNED,,202-225-2331,STANDARD,Majority Whip,,,
Michelle Fischbach,MN,7,R,NOT_SIGNED,,202-225-2165,MEDIUM - GOP woman,GOP woman,,,
Pete Stauber,MN,8,R,NOT_SIGNED,,202-225-6211,STANDARD,,,,
Wesley Bell,MO,1,D,SIGNED,2025-09-02,202-225-2406,,Freshman - defeated Bush,2025-09-03,,
Ann Wagner,MO,2,R,NOT_SIGNED,,202-225-1621,MEDIUM - GOP woman,GOP woman,,,
Bob Onder,MO,3,R,NOT_SIGNED,,202-225-2956,STANDARD,Freshman,,,
Mark Alford,MO,4,R,NOT_SIGNED,,202-225-2876,STANDARD,,,,
Emanuel Cleaver,MO,5,D,SIGNED,2025-09-02,202-225-4535,,,2025-09-03,,
Sam Graves,MO,6,R,NOT_SIGNED,,202-225-7041,STANDARD,Transportation Chair,,,
Eric Burlison,MO,7,R,NOT_SIGNED,,202-225-6536,STANDARD,,,,
Jason Smith,MO,8,R,NOT_SIGNED,,202-225-4404,STANDARD,Ways & Means Chair,,,
Kimberlyn King-Hinds,MP,AL,R,NOT_SIGNED,,202-225-2646,STANDARD,Non-voting delegate,,,
Trent Kelly,MS,1,R,NOT_SIGNED,,202-225-4306,STANDARD,,,,
Bennie Thompson,MS,2,D,SIGNED,2025-09-02,202-225-5876,,,2025-09-03,,
Michael Guest,MS,3,R,NOT_SIGNED,,202-225-5031,STANDARD,,,,
Mike Ezell,MS,4,R,NOT_SIGNED,,202-225-5772,STANDARD,,,,
Ryan K. Zinke,MT,1,R,NOT_SIGNED,,202-225-3211,STANDARD,Former Interior Secretary,,,
Troy Downing,MT,2,R,NOT_SIGNED,,202-225-1313,STANDARD,Freshman,,,
Donald Davis,NC,1,D,SIGNED,2025-09-02,202-225-3101,,Signed Sept 2,2025-09-03,,
Pat Harrigan,NC,10,R,NOT_SIGNED,,202-225-2576,STANDARD,Freshman,,,
Chuck Edwards,NC,11,R,NOT_SIGNED,,202-225-6401,STANDARD,Defeated Cawthorn,,,
Alma Adams,NC,12,D,SIGNED,2025-09-02,202-225-1510,,,2025-09-03,,
Brad Knott,NC,13,R,NOT_SIGNED,,202-225-2071,STANDARD,Freshman,,,
Timothy K. Moore,NC,14,R,NOT_SIGNED,,202-225-5735,STANDARD,Freshman - former Speaker,,,
Deborah Ross,NC,2,D,SIGNED,2025-09-02,202-225-3032,,,2025-09-03,,
Gregory Murphy,NC,3,R,NOT_SIGNED,,202-225-3415,STANDARD,Doctor,,,
Valerie Foushee,NC,4,D,SIGNED,2025-09-03,202-225-1784,,,2025-09-03,,
Virginia Foxx,NC,5,R,NOT_SIGNED,,202-225-2071,MEDIUM - GOP woman,GOP woman - Rules Chair,,,
Addison McDowell,NC,6,R,NOT_SIGNED,,202-225-3715,STANDARD,Freshman,,,
David Rouzer,NC,7,R,NOT_SIGNED,,202-225-2731,STANDARD,,,,
Mark Harris,NC,8,R,NOT_SIGNED,,202-225-3176,STANDARD,Finally won after 2018 scandal,,,
Richard Hudson,NC,9,R,NOT_SIGNED,,202-225-3715,STANDARD,NRCC Chair,,,
Julie Fedorchak,ND,AL,R,NOT_SIGNED,,202-225-2611,MEDIUM - GOP woman,GOP woman - First woman from ND,,,
Mike Flood,NE,1,R,NOT_SIGNED,,202-225-4806,STANDARD,,,,
Don Bacon,NE,2,R,NOT_SIGNED,,202-225-4155,STANDARD,Moderate - Biden district,,,
Adrian Smith,NE,3,R,NOT_SIGNED,,202-225-6435,STANDARD,,,,
Chris Pappas,NH,1,D,SIGNED,2025-09-02,202-225-5456,,,2025-09-03,,
Maggie Goodlander,NH,2,D,SIGNED,2025-09-02,202-225-5206,,Freshman - Jake Sullivan's wife,2025-09-03,,
Donald Norcross,NJ,1,D,SIGNED,2025-09-03,202-225-6501,,,2025-09-03,,
LaMonica McIver,NJ,10,D,SIGNED,2025-09-02,202-225-3436,,Freshman - replaced Payne,2025-09-03,,
Mikie Sherrill,NJ,11,D,SIGNED,2025-09-03,202-225-5034,,Running for governor,2025-09-03,,
Bonnie Watson Coleman,NJ,12,D,SIGNED,2025-09-02,202-225-5801,,,2025-09-03,,
Jeff Van Drew,NJ,2,R,NOT_SIGNED,,202-225-6572,HIGHEST - Co-sponsor,CO-SPONSORED H.R. 185 but won't sign!,,,
Herbert C. Conaway Jr.,NJ,3,D,SIGNED,2025-09-02,202-225-4765,,Freshman,2025-09-03,,
Chris Smith,NJ,4,R,NOT_SIGNED,,202-225-3765,STANDARD,,,,
Josh Gottheimer,NJ,5,D,SIGNED,2025-09-02,202-225-4465,,Problem Solvers co-chair,2025-09-03,,
Frank Pallone Jr.,NJ,6,D,SIGNED,2025-09-03,202-225-4671,,,2025-09-03,,
Thomas Kean Jr.,NJ,7,R,NOT_SIGNED,,202-225-5361,STANDARD,Moderate,,,
Robert Menendez Jr.,NJ,8,D,SIGNED,2025-09-02,202-225-7919,,Signed Sept 2 despite father's issues,2025-09-03,,
Nellie Pou,NJ,9,D,SIGNED,2025-09-02,202-225-5751,,Freshman - replaced Pascrell,2025-09-03,,
Melanie Ann Stansbury,NM,1,D,SIGNED,2025-09-02,202-225-6316,,,2025-09-03,,
Gabriel Vasquez,NM,2,D,SIGNED,2025-09-02,202-225-2365,,,2025-09-03,,
Teresa Leger Fernandez,NM,3,D,SIGNED,2025-09-03,202-225-6190,,,2025-09-03,,
Dina Titus,NV,1,D,SIGNED,2025-09-02,202-225-5965,,,2025-09-03,,
Mark Amodei,NV,2,R,NOT_SIGNED,,202-225-6155,STANDARD,,,,
Susie Lee,NV,3,D,SIGNED,2025-09-03,202-225-3252,,,2025-09-03,,
Steven Horsford,NV,4,D,SIGNED,2025-09-03,202-225-9894,,CBC Chair,2025-09-03,,
Nicholas J. LaLota,NY,1,R,NOT_SIGNED,,202-225-3826,STANDARD,,,,
Daniel Goldman,NY,10,D,SIGNED,2025-09-04,202-225-7944,,Signed Sept 4 (215th signature),2025-09-04,,
Nicole Malliotakis,NY,11,R,NOT_SIGNED,,202-225-3371,MEDIUM - GOP woman,GOP woman - Staten Island,,,
Jerrold Nadler,NY,12,D,SIGNED,2025-09-03,202-225-5635,,Judiciary Ranking,2025-09-03,,
Adriano Espaillat,NY,13,D,SIGNED,2025-09-02,202-225-4365,,,2025-09-03,,
Alexandria Ocasio-Cortez,NY,14,D,SIGNED,2025-09-02,202-225-3965,,Squad leader,2025-09-03,,
