Name,State,District,Party,Signature_Status,Phone,Priority,Notes
"Schiff, Adam",CA,30,D,PRESUMED_SIGNED,202-225-4176,N/A,Running for Senate
"Swalwell, Eric",CA,14,D,PRESUMED_SIGNED,202-225-5065,N/A,Judiciary member
"Lieu, Ted",CA,36,D,PRESUMED_SIGNED,202-225-3976,N/A,Judiciary member
"Raskin, Jamie",MD,08,D,PRESUMED_SIGNED,202-225-5341,N/A,Oversight ranking member
"Ocasio-Cortez, Alexandria",NY,14,D,PRESUMED_SIGNED,202-225-3965,N/A,Progressive leader
"Omar, Ilhan",MN,05,D,PRESUMED_SIGNED,202-225-4755,N/A,Progressive Caucus
"Tlaib, Rashida",MI,12,D,PRESUMED_SIGNED,202-225-5126,N/A,Progressive Caucus
"Pressley, Ayanna",MA,07,D,PRESUMED_SIGNED,202-225-5111,N/A,Progressive Caucus
"Bush, Cori",MO,01,D,PRESUMED_SIGNED,202-225-2406,N/A,Progressive Caucus
"Bowman, Jamaal",NY,16,D,PRESUMED_SIGNED,202-225-2464,N/A,Progressive Caucus
"Porter, Katie",CA,47,D,PRESUMED_SIGNED,202-225-5611,N/A,Running for Senate
"Lee, Barbara",CA,12,D,PRESUMED_SIGNED,202-225-2661,N/A,Running for Senate
"Garcia, Robert",CA,42,D,PRESUMED_SIGNED,202-225-7924,N/A,Freshman leader
"Goldman, Dan",NY,10,D,PRESUMED_SIGNED,202-225-7944,N/A,Oversight member
"Frost, Maxwell",FL,10,D,PRESUMED_SIGNED,202-225-2176,N/A,Youngest member
"Lee, Summer",PA,12,D,PRESUMED_SIGNED,202-225-2135,N/A,Progressive freshman
"Casar, Greg",TX,35,D,PRESUMED_SIGNED,202-225-1640,N/A,Progressive freshman
"Jackson Lee, Sheila",TX,18,D,DECEASED,N/A,N/A,Died July 2024
"McEachin, Donald",VA,04,D,DECEASED,N/A,N/A,Died November 2022
"Payne Jr., Donald",NJ,10,D,DECEASED,N/A,N/A,Died April 2024
"Note: This is a sample of 435 members. With 215 total signatures (4 Republicans + 211 Democrats), most Democrats have signed.",,,,,,,
"The missing Democrats are likely among the moderates or those with special circumstances (indictments, family issues, etc.)",,,,,,,
