Office,Name,State,District,Party,Signature_Status,Phone,Date_Signed,Signature_Number
U.S. House,Jasmine Crockett,TX,30,D,SIGNED,202-225-8885,2025-09-02,126
U.S. House,Al Green,TX,09,D,SIGNED,202-225-7508,2025-09-02,127
U.S. House,Maxine Waters,CA,43,D,SIGNED,202-225-2201,2025-09-02,128
U.S. House,Donald G. Davis,NC,01,D,SIGNED,202-225-3101,2025-09-02,129
U.S. House,Lauren Underwood,IL,14,D,SIGNED,202-225-2976,2025-09-02,130
U.S. House,Steve Cohen,TN,09,D,SIGNED,202-225-3265,2025-09-02,131
U.S. House,Terri A. Sewell,AL,07,D,SIGNED,202-225-2665,2025-09-02,132
U.S. House,Robert Garcia,CA,42,D,SIGNED,202-225-7924,2025-09-02,133
U.S. House,Shri Thanedar,MI,13,D,SIGNED,202-225-5802,2025-09-02,134
U.S. House,Diana DeGette,CO,01,D,SIGNED,202-225-4431,2025-09-03,135
U.S. House,Teresa Leger Fernandez,NM,03,D,SIGNED,202-225-6190,2025-09-03,136
U.S. House,Steven Horsford,NV,04,D,SIGNED,202-225-9894,2025-09-03,137
U.S. House,Brad Sherman,CA,32,D,SIGNED,202-225-5911,2025-09-03,138
U.S. House,Marc A. Veasey,TX,33,D,SIGNED,202-225-9897,2025-09-03,139
U.S. House,Katherine M. Clark,MA,05,D,SIGNED,202-225-2836,2025-09-03,140
U.S. House,Hakeem S. Jeffries,NY,08,D,SIGNED,202-225-5936,2025-09-03,141
U.S. House,Sanford D. Bishop,GA,02,D,SIGNED,202-225-3631,2025-09-03,142
U.S. House,John Garamendi,CA,08,D,SIGNED,202-225-1880,2025-09-03,143
U.S. House,Derek Tran,CA,45,D,SIGNED,202-225-2415,2025-09-03,144
U.S. House,Brittany Pettersen,CO,07,D,SIGNED,202-225-2645,2025-09-03,145
U.S. House,Brendan F. Boyle,PA,02,D,SIGNED,202-225-6111,2025-09-03,146
U.S. House,Suzanne Bonamici,OR,01,D,SIGNED,202-225-0855,2025-09-03,147
U.S. House,Eric Sorensen,IL,17,D,SIGNED,202-225-5905,2025-09-03,148
U.S. House,Ted Lieu,CA,36,D,SIGNED,202-225-3976,2025-09-03,149
U.S. House,David Scott,GA,13,D,SIGNED,202-225-2939,2025-09-03,150
U.S. House,Ami Bera,CA,06,D,SIGNED,202-225-5716,2025-09-03,151
U.S. House,Joyce Beatty,OH,03,D,SIGNED,202-225-4324,2025-09-03,152
U.S. House,Julia Brownley,CA,26,D,SIGNED,202-225-5811,2025-09-03,153
U.S. House,Sylvia R. Garcia,TX,29,D,SIGNED,202-225-1688,2025-09-03,154
U.S. House,Donald Norcross,NJ,01,D,SIGNED,202-225-6501,2025-09-03,155
U.S. House,Valerie P. Foushee,NC,04,D,SIGNED,202-225-1784,2025-09-03,156
U.S. House,Christopher R. Deluzio,PA,17,D,SIGNED,202-225-2301,2025-09-03,157
U.S. House,Lateefah Simon,CA,12,D,SIGNED,202-225-2661,2025-09-03,158
U.S. House,Raul Ruiz,CA,25,D,SIGNED,202-225-5330,2025-09-03,159
U.S. House,Ritchie Torres,NY,15,D,SIGNED,202-225-4361,2025-09-03,160
U.S. House,Nydia M. Velázquez,NY,07,D,SIGNED,202-225-2361,2025-09-03,161
U.S. House,Sydney Kamlager-Dove,CA,37,D,SIGNED,202-225-7084,2025-09-03,162
U.S. House,Adam Smith,WA,09,D,SIGNED,202-225-8901,2025-09-03,163
U.S. House,Danny K. Davis,IL,07,D,SIGNED,202-225-5006,2025-09-03,164
U.S. House,Betty McCollum,MN,04,D,SIGNED,202-225-6631,2025-09-03,165
U.S. House,Val T. Hoyle,OR,04,D,SIGNED,202-225-6416,2025-09-03,166
U.S. House,Mike Levin,CA,49,D,SIGNED,202-225-3906,2025-09-03,167
U.S. House,Robin L. Kelly,IL,02,D,SIGNED,202-225-0773,2025-09-03,168
U.S. House,Richard E. Neal,MA,01,D,SIGNED,202-225-5601,2025-09-03,169
U.S. House,Frank Pallone,NJ,06,D,SIGNED,202-225-4671,2025-09-03,170
U.S. House,Glenn Ivey,MD,04,D,SIGNED,202-225-8699,2025-09-03,171
U.S. House,Josh Harder,CA,09,D,SIGNED,202-225-4540,2025-09-03,172
U.S. House,Jerrold Nadler,NY,12,D,SIGNED,202-225-5635,2025-09-03,173
U.S. House,Sam T. Liccardo,CA,16,D,SIGNED,202-225-8104,2025-09-03,174
U.S. House,Jared Huffman,CA,02,D,SIGNED,202-225-5161,2025-09-03,175
U.S. House,Timothy M. Kennedy,NY,26,D,SIGNED,202-225-3306,2025-09-03,176
U.S. House,Mark Pocan,WI,02,D,SIGNED,202-225-2906,2025-09-03,177
U.S. House,Hillary J. Scholten,MI,03,D,SIGNED,202-225-3831,2025-09-03,178
U.S. House,Darren Soto,FL,09,D,SIGNED,202-225-9889,2025-09-03,179
U.S. House,Susie Lee,NV,03,D,SIGNED,202-225-3252,2025-09-03,180
U.S. House,Yvette D. Clarke,NY,09,D,SIGNED,202-225-6231,2025-09-03,181
U.S. House,Joaquin Castro,TX,20,D,SIGNED,202-225-3236,2025-09-03,182
U.S. House,Mark DeSaulnier,CA,10,D,SIGNED,202-225-2095,2025-09-03,183
U.S. House,Joseph D. Morelle,NY,25,D,SIGNED,202-225-3615,2025-09-03,184
U.S. House,Jake Auchincloss,MA,04,D,SIGNED,202-225-5931,2025-09-03,185
U.S. House,Sharice Davids,KS,03,D,SIGNED,202-225-2865,2025-09-03,186
U.S. House,Steny H. Hoyer,MD,05,D,SIGNED,202-225-4131,2025-09-03,187
U.S. House,Kevin Mullin,CA,15,D,SIGNED,202-225-3531,2025-09-03,188
U.S. House,Rosa L. DeLauro,CT,03,D,SIGNED,202-225-3661,2025-09-03,189
U.S. House,Rick Larsen,WA,02,D,SIGNED,202-225-2605,2025-09-03,190
U.S. House,Juan Vargas,CA,52,D,SIGNED,202-225-8045,2025-09-03,191
U.S. House,Donald S. Beyer,VA,08,D,SIGNED,202-225-4376,2025-09-03,192
U.S. House,James E. Clyburn,SC,06,D,SIGNED,202-225-3315,2025-09-03,193
U.S. House,Debbie Wasserman Schultz,FL,25,D,SIGNED,202-225-7931,2025-09-03,194
U.S. House,William R. Keating,MA,09,D,SIGNED,202-225-3111,2025-09-03,195
U.S. House,Madeleine Dean,PA,04,D,SIGNED,202-225-4731,2025-09-03,196
U.S. House,Chellie Pingree,ME,01,D,SIGNED,202-225-6116,2025-09-03,197
U.S. House,Josh Riley,NY,19,D,SIGNED,202-225-5441,2025-09-03,198
U.S. House,Scott H. Peters,CA,50,D,SIGNED,202-225-0508,2025-09-03,199
U.S. House,Gwen Moore,WI,04,D,SIGNED,202-225-4572,2025-09-03,200
U.S. House,Seth Moulton,MA,06,D,SIGNED,202-225-8020,2025-09-03,201
U.S. House,April McClain Delaney,MD,06,D,SIGNED,202-225-2721,2025-09-03,202
U.S. House,Angie Craig,MN,02,D,SIGNED,202-225-2271,2025-09-03,203
U.S. House,Mike Thompson,CA,04,D,SIGNED,202-225-3311,2025-09-03,204
U.S. House,Linda T. Sánchez,CA,38,D,SIGNED,202-225-6676,2025-09-03,205
U.S. House,Jim Costa,CA,21,D,SIGNED,202-225-3341,2025-09-03,206
U.S. House,Jimmy Gomez,CA,34,D,SIGNED,202-225-6235,2025-09-03,207
U.S. House,Pete Aguilar,CA,33,D,SIGNED,202-225-3201,2025-09-03,208
U.S. House,Ed Case,HI,01,D,SIGNED,202-225-2726,2025-09-03,209
U.S. House,Vicente Gonzalez,TX,34,D,SIGNED,202-225-2531,2025-09-03,210
U.S. House,Lloyd Doggett,TX,37,D,SIGNED,202-225-4865,2025-09-03,211
U.S. House,Mikie Sherrill,NJ,11,D,SIGNED,202-225-5034,2025-09-03,212
U.S. House,James A. Himes,CT,04,D,SIGNED,202-225-5541,2025-09-03,213
U.S. House,Henry Cuellar,TX,28,D,SIGNED,202-225-1640,2025-09-03,214
U.S. House,Daniel S. Goldman,NY,10,D,SIGNED,202-225-7944,2025-09-04,215
U.S. House,Eric Swalwell,CA,14,D,SIGNED,202-225-5065,2025-09-08,216
