Name,State,District,Party,Signature_Status,Phone,Notes
"Barragán, Nanette",CA,44,D,LIKELY_SIGNED,202-225-8220,Energy & Commerce
"Blunt Rochester, Lisa",DE,AL,D,LIKELY_SIGNED,202-225-4165,Delaware at-large
"Bonamici, Suzanne",OR,01,D,LIKELY_SIGNED,202-225-0855,Education & Labor
"Takano, Mark",CA,39,D,LIKELY_SIGNED,202-225-2305,Veterans Affairs
"Brownley, Julia",CA,26,D,LIKELY_SIGNED,202-225-5811,Veterans Affairs
"Kuster, Annie",NH,02,D,LIKELY_SIGNED,202-225-5206,Energy & Commerce
"Rice, Kathleen",NY,04,D,UNCERTAIN,202-225-5516,Retired mid-term
"Butterfield, G.K.",NC,01,D,UNCERTAIN,202-225-3101,May not have signed
"Doyle, Mike",PA,18,D,UNCERTAIN,202-225-2135,Retiring member
"Cuellar, Henry",TX,28,D,UNCERTAIN,202-225-1640,Under indictment - may not have signed
"Menendez, Rob",NJ,08,D,UNCERTAIN,202-225-7919,Son of indicted Senator - may hesitate
"Schrader, Kurt",OR,05,D,UNCERTAIN,202-225-5711,Lost primary - may be absent
"Golden, Jared",ME,02,D,UNCERTAIN,202-225-6306,Moderate - may hesitate
"Phillips, Dean",MN,03,D,UNCERTAIN,202-225-2871,Ran against Biden - may be isolated
"Spanberger, Abigail",VA,07,D,LIKELY_SIGNED,202-225-2815,Former CIA
"Slotkin, Elissa",MI,07,D,LIKELY_SIGNED,202-225-4872,National security
"Luria, Elaine",VA,02,D,NOT_IN_CONGRESS,202-225-4215,Lost reelection
"McCarthy, Kevin",CA,20,R,NOT_IN_CONGRESS,N/A,Former Speaker - resigned
"Santos, George",NY,03,R,NOT_IN_CONGRESS,N/A,Expelled from Congress
"Buck, Ken",CO,04,R,NOT_IN_CONGRESS,N/A,Resigned March 2024
"Gallagher, Mike",WI,08,R,NOT_IN_CONGRESS,N/A,Resigned April 2024
